pagina,url,instancia,formId_en_la_pagina,apunta_hoy_a_nombre_real_hubspot,programa_que_envia_el_formulario,formId_canon,nombre_en_canon,fila_canon,canon_encontrado_por,coincide_con_canon,veredicto,formId_que_debe_quedar,accion,detalle
curso-de-analitica-digital-growth-marketing,https://udeponline.pe/curso-de-analitica-digital-growth-marketing/,hero,7a38b319-f279-497a-84c6-e85dad3de2a4,Curso Analítica Digital & Growth Marketing Piura (UDN UDEP),Gestión del Talento,,,,,NO,CANON SIN FILA,7a38b319-f279-497a-84c6-e85dad3de2a4,nada: el formId de la pagina es el correcto; agregar la fila a la planilla,la planilla no tiene fila para esta pagina
curso-de-analitica-digital-growth-marketing,https://udeponline.pe/curso-de-analitica-digital-growth-marketing/,modal,7a38b319-f279-497a-84c6-e85dad3de2a4,Curso Analítica Digital & Growth Marketing Piura (UDN UDEP),Gestión del Talento,,,,,NO,CANON SIN FILA,7a38b319-f279-497a-84c6-e85dad3de2a4,nada: el formId de la pagina es el correcto; agregar la fila a la planilla,la planilla no tiene fila para esta pagina
curso-de-business-intelligence-data-science,https://udeponline.pe/curso-de-business-intelligence-data-science/,hero,0a25bf0d-06d8-4722-8735-18cd0078c725,Curso Business Intelligence & Data Science  Piura (UDN UDEP),Gestión del Talento,0a25bf0d-06d8-4722-8735-18cd0078c725,Business Intelligence & Data Science,24,url,SI,COINCIDE,0a25bf0d-06d8-4722-8735-18cd0078c725,nada: el formId de la pagina es el correcto,
curso-de-business-intelligence-data-science,https://udeponline.pe/curso-de-business-intelligence-data-science/,modal,0a25bf0d-06d8-4722-8735-18cd0078c725,Curso Business Intelligence & Data Science  Piura (UDN UDEP),Gestión del Talento,0a25bf0d-06d8-4722-8735-18cd0078c725,Business Intelligence & Data Science,24,url,SI,COINCIDE,0a25bf0d-06d8-4722-8735-18cd0078c725,nada: el formId de la pagina es el correcto,
curso-de-coaching,https://udeponline.pe/curso-de-coaching/,hero,294bab20-eebc-43aa-bdc6-b9aff0882c40,Curso Coaching (UDN UDEP).,,294bab20-eebc-43aa-bdc6-b9aff0882c40,Coaching,25,url,SI,COINCIDE,294bab20-eebc-43aa-bdc6-b9aff0882c40,nada: el formId de la pagina es el correcto,
curso-de-coaching,https://udeponline.pe/curso-de-coaching/,modal,294bab20-eebc-43aa-bdc6-b9aff0882c40,Curso Coaching (UDN UDEP).,,294bab20-eebc-43aa-bdc6-b9aff0882c40,Coaching,25,url,SI,COINCIDE,294bab20-eebc-43aa-bdc6-b9aff0882c40,nada: el formId de la pagina es el correcto,
curso-de-comunicacion-efectiva,https://udeponline.pe/curso-de-comunicacion-efectiva/,hero,f828a14e-d122-4982-91c5-0f956c00617c,Curso Comunicación Efectiva Piura  (UDN UDEP),Gestión del Talento,f828a14e-d122-4982-91c5-0f956c00617c,Comunicacio Efectiva,33,url,SI,COINCIDE,f828a14e-d122-4982-91c5-0f956c00617c,nada: el formId de la pagina es el correcto,
curso-de-comunicacion-efectiva,https://udeponline.pe/curso-de-comunicacion-efectiva/,modal,f828a14e-d122-4982-91c5-0f956c00617c,Curso Comunicación Efectiva Piura  (UDN UDEP),Gestión del Talento,f828a14e-d122-4982-91c5-0f956c00617c,Comunicacio Efectiva,33,url,SI,COINCIDE,f828a14e-d122-4982-91c5-0f956c00617c,nada: el formId de la pagina es el correcto,
curso-de-digital-business-model,https://udeponline.pe/curso-de-digital-business-model/,hero,00b12055-381c-43f6-9dc1-45372becccd8,Curso Digital Business Model Piura  (UDN UDEP),Gestión del Talento,b92183d3-4a82-42a8-be63-805d1204e40a,Digital Business Model,30,url,NO,FALSA ALARMA DEL CANON,00b12055-381c-43f6-9dc1-45372becccd8,nada: el formId de la pagina es el correcto; corregir la planilla (fila 30): su ID b92183d3 resuelve a 'Curso Digital Business Model  (UDN UDEP)',"el sitio usa 'Curso Digital Business Model Piura  (UDN UDEP)', que corresponde a la pagina; el canon dice b92183d3 = 'Curso Digital Business Model  (UDN UDEP)'"
curso-de-digital-business-model,https://udeponline.pe/curso-de-digital-business-model/,modal,00b12055-381c-43f6-9dc1-45372becccd8,Curso Digital Business Model Piura  (UDN UDEP),Gestión del Talento,b92183d3-4a82-42a8-be63-805d1204e40a,Digital Business Model,30,url,NO,FALSA ALARMA DEL CANON,00b12055-381c-43f6-9dc1-45372becccd8,nada: el formId de la pagina es el correcto; corregir la planilla (fila 30): su ID b92183d3 resuelve a 'Curso Digital Business Model  (UDN UDEP)',"el sitio usa 'Curso Digital Business Model Piura  (UDN UDEP)', que corresponde a la pagina; el canon dice b92183d3 = 'Curso Digital Business Model  (UDN UDEP)'"
