pagina,url,tipo,formId_banner,formId_modal,incrustaciones_en_html,formId_esperado_inventario_15sep,banner_coincide,modal_coincide,nombre_formulario_segun_hubspot,formulario_corresponde_a_la_pagina,programa_que_envia_el_formulario,programa_que_deberia_enviar,programa_coincide,activador_segun_hubspot,formId_que_debe_ir_en_la_pagina,vicente_debe_repuntar,accion,observacion
curso-de-analitica-digital-growth-marketing,https://udeponline.pe/curso-de-analitica-digital-growth-marketing/,curso,7a38b319-f279-497a-84c6-e85dad3de2a4,7a38b319-f279-497a-84c6-e85dad3de2a4,2,7a38b319-f279-497a-84c6-e85dad3de2a4,SI,SI,Curso Analítica Digital & Growth Marketing Piura (UDN UDEP),SI,Gestión del Talento,NO EXISTE OPCION,NO,NINGUNO,7a38b319-f279-497a-84c6-e85dad3de2a4,NO,editar el formulario en HubSpot (no cambia el formId),no existe opcion para este programa en la propiedad; sin Activador: el lead no se asigna
curso-de-business-intelligence-data-science,https://udeponline.pe/curso-de-business-intelligence-data-science/,curso,0a25bf0d-06d8-4722-8735-18cd0078c725,0a25bf0d-06d8-4722-8735-18cd0078c725,2,0a25bf0d-06d8-4722-8735-18cd0078c725,SI,SI,Curso Business Intelligence & Data Science  Piura (UDN UDEP),SI,Gestión del Talento,Business Intelligence & Data Science,NO,0305. Activador Cursos Piura (UDN UDEP),0a25bf0d-06d8-4722-8735-18cd0078c725,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
curso-de-coaching,https://udeponline.pe/curso-de-coaching/,curso,294bab20-eebc-43aa-bdc6-b9aff0882c40,294bab20-eebc-43aa-bdc6-b9aff0882c40,2,294bab20-eebc-43aa-bdc6-b9aff0882c40,SI,SI,Curso Coaching (UDN UDEP).,SI,,Coaching,NO,0305. Activador Cursos Piura (UDN UDEP),294bab20-eebc-43aa-bdc6-b9aff0882c40,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto no tiene valor
curso-de-comunicacion-efectiva,https://udeponline.pe/curso-de-comunicacion-efectiva/,curso,f828a14e-d122-4982-91c5-0f956c00617c,f828a14e-d122-4982-91c5-0f956c00617c,2,f828a14e-d122-4982-91c5-0f956c00617c,SI,SI,Curso Comunicación Efectiva Piura  (UDN UDEP),SI,Gestión del Talento,Comunicación Efectiva,NO,0305. Activador Cursos Piura (UDN UDEP),f828a14e-d122-4982-91c5-0f956c00617c,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
curso-de-digital-business-model,https://udeponline.pe/curso-de-digital-business-model/,curso,00b12055-381c-43f6-9dc1-45372becccd8,00b12055-381c-43f6-9dc1-45372becccd8,2,00b12055-381c-43f6-9dc1-45372becccd8,SI,SI,Curso Digital Business Model Piura  (UDN UDEP),SI,Gestión del Talento,Digital Business Model,NO,0305. Activador Cursos Piura (UDN UDEP),00b12055-381c-43f6-9dc1-45372becccd8,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
curso-de-felicidad-y-bienestar-organizacional,https://udeponline.pe/curso-de-felicidad-y-bienestar-organizacional/,curso,3727950a-ecce-48ee-b75e-b3c46cc54c7a,3727950a-ecce-48ee-b75e-b3c46cc54c7a,2,3727950a-ecce-48ee-b75e-b3c46cc54c7a,SI,SI,Curso Felicidad y Bienestar Organizacional Piura (UDN UDEP),SI,Gestión del Talento,Felicidad y Bienestar Organizacional,NO,0305. Activador Cursos Piura (UDN UDEP),3727950a-ecce-48ee-b75e-b3c46cc54c7a,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
curso-de-gestion-de-equipos-de-alto-rendimiento,https://udeponline.pe/curso-de-gestion-de-equipos-de-alto-rendimiento/,curso,84e5b722-e953-4dc9-a199-61f96667f10e,84e5b722-e953-4dc9-a199-61f96667f10e,2,84e5b722-e953-4dc9-a199-61f96667f10e,SI,SI,Curso Gestión de Equipos de Alto Rendimiento Piura  (UDN UDEP),SI,Gestión del Talento,Gestión de Equipos de Alto Rendimiento,NO,0305. Activador Cursos Piura (UDN UDEP),84e5b722-e953-4dc9-a199-61f96667f10e,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
curso-de-gestion-del-talento,https://udeponline.pe/curso-de-gestion-del-talento/,curso,d6c333ed-17db-4e16-8afa-d87ef1b4eb49,d6c333ed-17db-4e16-8afa-d87ef1b4eb49,2,d6c333ed-17db-4e16-8afa-d87ef1b4eb49,SI,SI,Curso Gestión del Talento Piura (UDN UDEP),SI,Gestión del Talento,Gestión del Talento,SI,0305. Activador Cursos Piura (UDN UDEP),d6c333ed-17db-4e16-8afa-d87ef1b4eb49,NO,nada,
curso-de-inteligencia-emocional,https://udeponline.pe/curso-de-inteligencia-emocional/,curso,c1438a54-76d7-4155-8ec0-28d6c65e24fb,c1438a54-76d7-4155-8ec0-28d6c65e24fb,2,c1438a54-76d7-4155-8ec0-28d6c65e24fb,SI,SI,Curso Inteligencia Emocional (UDN-UDEP).,SI,,Inteligencia Emocional,NO,0305. Activador Cursos Piura (UDN UDEP),c1438a54-76d7-4155-8ec0-28d6c65e24fb,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto no tiene valor
curso-de-liderazgo-en-la-era-digital,https://udeponline.pe/curso-de-liderazgo-en-la-era-digital/,curso,89781058-251b-4213-9673-08605ddc1b93,89781058-251b-4213-9673-08605ddc1b93,2,89781058-251b-4213-9673-08605ddc1b93,SI,SI,Curso Liderazgo en la era digital Piura (UDN UDEP),SI,Gestión del Talento,Liderazgo en la era digital,NO,0305. Activador Cursos Piura (UDN UDEP),89781058-251b-4213-9673-08605ddc1b93,NO,editar el formulario en HubSpot (no cambia el formId),el campo oculto envia otro programa
