n,tipo,formulario_en_hubspot,formId,pagina,instancias_en_la_pagina,activador_actual
1,curso,Curso Analítica Digital & Growth Marketing Piura (UDN UDEP),7a38b319-f279-497a-84c6-e85dad3de2a4,https://udeponline.pe/curso-de-analitica-digital-growth-marketing/,banner + modal (el mismo formulario),NINGUNO
2,curso,Curso Business Intelligence & Data Science  Piura (UDN UDEP),0a25bf0d-06d8-4722-8735-18cd0078c725,https://udeponline.pe/curso-de-business-intelligence-data-science/,banner + modal (el mismo formulario),0305. Activador Cursos Piura (UDN UDEP)
3,curso,Curso Coaching (UDN UDEP).,294bab20-eebc-43aa-bdc6-b9aff0882c40,https://udeponline.pe/curso-de-coaching/,banner + modal (el mismo formulario),0305. Activador Cursos Piura (UDN UDEP)
4,curso,Curso Comunicación Efectiva Piura  (UDN UDEP),f828a14e-d122-4982-91c5-0f956c00617c,https://udeponline.pe/curso-de-comunicacion-efectiva/,banner + modal (el mismo formulario),0305. Activador Cursos Piura (UDN UDEP)
5,curso,Curso Digital Business Model Piura  (UDN UDEP),00b12055-381c-43f6-9dc1-45372becccd8,https://udeponline.pe/curso-de-digital-business-model/,banner + modal (el mismo formulario),0305. Activador Cursos Piura (UDN UDEP)
6,curso,Curso Felicidad y Bienestar Organizacional Piura (UDN UDEP),3727950a-ecce-48ee-b75e-b3c46cc54c7a,https://udeponline.pe/curso-de-felicidad-y-bienestar-organizacional/,banner + modal (el mismo formulario),0305. Activador Cursos Piura (UDN UDEP)
7,curso,Curso Gestión de Equipos de Alto Rendimiento Piura  (UDN UDEP),84e5b722-e953-4dc9-a199-61f96667f10e,https://udeponline.pe/curso-de-gestion-de-equipos-de-alto-rendimiento/,banner + modal (el mismo formulario),0305. Activador Cursos Piura (UDN UDEP)
8,curso,Curso Gestión del Talento Piura (UDN UDEP),d6c333ed-17db-4e16-8afa-d87ef1b4eb49,https://udeponline.pe/curso-de-gestion-del-talento/,banner + modal (el mismo formulario),0305. Activador Cursos Piura (UDN UDEP)
9,curso,Curso Inteligencia Emocional (UDN-UDEP).,c1438a54-76d7-4155-8ec0-28d6c65e24fb,https://udeponline.pe/curso-de-inteligencia-emocional/,banner + modal (el mismo formulario),0305. Activador Cursos Piura (UDN UDEP)
10,curso,Curso Liderazgo en la era digital Piura (UDN UDEP),89781058-251b-4213-9673-08605ddc1b93,https://udeponline.pe/curso-de-liderazgo-en-la-era-digital/,banner + modal (el mismo formulario),0305. Activador Cursos Piura (UDN UDEP)
11,curso,Curso Marketing Digital (UDN-UDEP),b6e43bcf-a7cc-4b9e-ae6c-1087963599b3,https://udeponline.pe/curso-de-marketing-digital/,banner + modal (el mismo formulario),0305. Activador Cursos Piura (UDN UDEP)
12,curso,Curso Negociación y Resolución de Conflictos Piura  (UDN UDEP),51477554-b683-4fb1-99c3-9b063b68c3a3,https://udeponline.pe/curso-de-negociacion-y-resolucion-de-conflictos/,banner + modal (el mismo formulario),0305. Activador Cursos Piura (UDN UDEP)
13,curso,Curso Negocios Ecommerce (UDN - UDEP) ,66f1f7d0-79f6-4ef5-8796-4d0e41e3db89,https://udeponline.pe/curso-de-negocios-e-commerce/,banner + modal (el mismo formulario),0305. Activador Cursos Piura (UDN UDEP)
