pagina,url,instancia,form_id_esperado,form_id_en_pagina,form_id_registrado,fecha_hora,correo_prueba,ronda3_ejecutada,R1_renderiza,R2_campos,R3_envio,R4_confirmacion,R5_clausula_datos,H1_contacto,H2_atribucion,H3_programa,H4_activador,H5_disparo,H6_marca,H7_definicion,caso,severidad,accion,quien,observacion
curso-de-analitica-digital-growth-marketing,https://udeponline.pe/curso-de-analitica-digital-growth-marketing/,banner,7a38b319-f279-497a-84c6-e85dad3de2a4,7a38b319-f279-497a-84c6-e85dad3de2a4,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,SIN_OPCION,SIN_ACTIVADOR,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,la propiedad de programa no tiene una opcion para este programa; el formulario envia 'Gestión del Talento'; ningun workflow Activador referencia este formulario: el lead no se asigna
curso-de-analitica-digital-growth-marketing,https://udeponline.pe/curso-de-analitica-digital-growth-marketing/,modal,7a38b319-f279-497a-84c6-e85dad3de2a4,7a38b319-f279-497a-84c6-e85dad3de2a4,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,SIN_OPCION,SIN_ACTIVADOR,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,la propiedad de programa no tiene una opcion para este programa; el formulario envia 'Gestión del Talento'; ningun workflow Activador referencia este formulario: el lead no se asigna
curso-de-business-intelligence-data-science,https://udeponline.pe/curso-de-business-intelligence-data-science/,banner,0a25bf0d-06d8-4722-8735-18cd0078c725,0a25bf0d-06d8-4722-8735-18cd0078c725,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Business Intelligence & Data Science'
curso-de-business-intelligence-data-science,https://udeponline.pe/curso-de-business-intelligence-data-science/,modal,0a25bf0d-06d8-4722-8735-18cd0078c725,0a25bf0d-06d8-4722-8735-18cd0078c725,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Business Intelligence & Data Science'
curso-de-coaching,https://udeponline.pe/curso-de-coaching/,banner,294bab20-eebc-43aa-bdc6-b9aff0882c40,294bab20-eebc-43aa-bdc6-b9aff0882c40,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,SIN_VALOR,OK,PENDIENTE,NO_VERIFICABLE_POR_API,"propiedades distintas a la plantilla: faltan ['mensaje'], sobran ['message'] | etiqueta de lastname: 'Apellidos' (plantilla: 'Apellido') | etiqueta de email: 'Correo' (plantilla: 'Email') | obligatoriedad de medio_de_contacto__udn_udep_: False (plantilla: True) | etiqueta de cursos_piura__udn_udep_: 'Cursos Piura (UDN UDEP)' (plantilla: 'Cursos Piura') | escribe en la propiedad generica 'message' en vez de 'mensaje': el dato no llega junto al del resto | sin encabezado '¿QUIERES MÁS INFORMACIÓN?' en el formulario",B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,sin clausula de autorizacion de datos; mensaje de confirmacion distinto o vacio: ''; el campo oculto de programa no tiene valor por defecto: el lead entra sin programa
curso-de-coaching,https://udeponline.pe/curso-de-coaching/,modal,294bab20-eebc-43aa-bdc6-b9aff0882c40,294bab20-eebc-43aa-bdc6-b9aff0882c40,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,SIN_VALOR,OK,PENDIENTE,NO_VERIFICABLE_POR_API,"propiedades distintas a la plantilla: faltan ['mensaje'], sobran ['message'] | etiqueta de lastname: 'Apellidos' (plantilla: 'Apellido') | etiqueta de email: 'Correo' (plantilla: 'Email') | obligatoriedad de medio_de_contacto__udn_udep_: False (plantilla: True) | etiqueta de cursos_piura__udn_udep_: 'Cursos Piura (UDN UDEP)' (plantilla: 'Cursos Piura') | escribe en la propiedad generica 'message' en vez de 'mensaje': el dato no llega junto al del resto | sin encabezado '¿QUIERES MÁS INFORMACIÓN?' en el formulario",B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,sin clausula de autorizacion de datos; mensaje de confirmacion distinto o vacio: ''; el campo oculto de programa no tiene valor por defecto: el lead entra sin programa
curso-de-comunicacion-efectiva,https://udeponline.pe/curso-de-comunicacion-efectiva/,banner,f828a14e-d122-4982-91c5-0f956c00617c,f828a14e-d122-4982-91c5-0f956c00617c,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Comunicación Efectiva'
curso-de-comunicacion-efectiva,https://udeponline.pe/curso-de-comunicacion-efectiva/,modal,f828a14e-d122-4982-91c5-0f956c00617c,f828a14e-d122-4982-91c5-0f956c00617c,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Comunicación Efectiva'
curso-de-digital-business-model,https://udeponline.pe/curso-de-digital-business-model/,banner,00b12055-381c-43f6-9dc1-45372becccd8,00b12055-381c-43f6-9dc1-45372becccd8,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Digital Business Model'
curso-de-digital-business-model,https://udeponline.pe/curso-de-digital-business-model/,modal,00b12055-381c-43f6-9dc1-45372becccd8,00b12055-381c-43f6-9dc1-45372becccd8,PENDIENTE,,,NO,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,OTRO_PROGRAMA,OK,PENDIENTE,NO_VERIFICABLE_POR_API,OK,B,CRITICO,editar el formulario en HubSpot (no cambia el formId),5minutos,el campo oculto envia 'Gestión del Talento' y la pagina es de 'Digital Business Model'
